id,user,likes,dislikes,followers
1,lmalletratt0,1976,3298,10241
2,skilmurray1,614,2432,12872
8,pcucinotta7,816,2316,16073
9,mlumly8,659,1384,10093
11,bdurstona,1552,2298,10125
13,hfenlonc,1491,1498,10008
16,gpettettf,1039,1912,18820
17,dgifkinsg,1037,3219,17220
18,rrosewarneh,1062,1824,17361
19,dmayoi,502,1432,16723
22,amcgeel,698,1892,10671
24,asummersiden,1090,1573,14163
25,hdaykino,1053,2094,19726
28,rkinghornr,1790,2057,15871
32,nthurlbeckv,2462,3464,12203
34,nlearnedx,2194,2466,16347
36,flagez,1566,2528,16102
37,loates10,864,973,19344
41,hdominetti14,1486,1763,13462
42,kitzakovitz15,1865,2535,19224
44,ojanu17,577,589,16970
46,aferneyhough19,1084,1297,11653
51,jnorsworthy1e,2735,3420,17155
53,jsaing1g,665,1165,14845
54,hnairns1h,524,1854,15091
57,mchastaing1k,1011,2961,16180
58,kmeineken1l,663,1981,18058
59,nkubicek1m,1394,1962,11734
62,akemson1p,524,2034,14399
65,cfriday1s,1826,3168,12078
68,svasin1v,1574,2371,13439
69,gletts1w,952,1975,15368
72,mlorden1z,1386,2038,17061
73,cdmitrievski20,502,2836,13158
74,bmarcus21,857,2243,18637
75,agehringer22,672,2610,12685
78,pboyack25,1100,3353,13261
79,kklemencic26,597,1138,18294
83,wjeavon2a,1743,2204,17934
85,fstollhofer2c,1699,2805,18300
86,choggin2d,1077,1589,12495
91,wcluff2i,1128,3305,11548
92,udubock2j,963,3058,18998
94,eearey2l,809,1686,10286
95,tquartermaine2m,1068,1833,18036
96,lkabsch2n,1082,2298,12240
97,gmacsharry2o,2217,2728,12581
98,cdarkott2p,1728,1793,10796
99,apetrecz2q,1184,1698,16313
100,bgreser2r,2290,2993,13850
